Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0085,INFg,35.62,35.59,0.047,4.56509535042757E-10,3.4192491E-07,0.0013351163
lm0085,INFg,35.56,35.59,0.047,,,
lm0083,INFg,25.44,25.62,0.258,1.88781955926773E-07,7.2E-07,0.2623053365
lm0083,INFg,25.8,25.62,0.258,,,
lm0061,INFg,25.65,25.71,0.084,1.79081329878288E-07,1.1255004E-06,0.159112631
lm0061,INFg,25.77,25.71,0.084,,,
lm0088,INFg,30.65,30.71,0.081,8.73032841497445E-09,9.53E-07,0.0091630945
lm0088,INFg,30.76,30.71,0.081,,,
lm0094,INFg,27.85,27.58,0.382,5.76225785811388E-08,1.8883491E-06,0.0305147912
lm0094,INFg,27.31,27.58,0.382,,,
lm0046,INFg,27.4,27.53,0.183,5.96194802096513E-08,5.94E-07,0.1004067912
lm0046,INFg,27.66,27.53,0.183,,,
lm0092,INFg,27.4,27.45,0.078,6.24574864716423E-08,1.46E-06,0.0427364371
lm0092,INFg,27.51,27.45,0.078,,,
lm0047,INFg,29.82,29.83,0.005,1.48633543562793E-08,7.1867463E-07,0.0206816183
lm0047,INFg,29.83,29.83,0.005,,,
lm0084,INFg,29.19,29.2,0.021,2.16554044607981E-08,9.5E-07,0.0227926319
lm0084,INFg,29.22,29.2,0.021,,,
lm0043,INFg,28.15,28.02,0.187,4.43461258993491E-08,1.22E-06,0.0362573503
lm0043,INFg,27.88,28.02,0.187,,,
lm0029,INFg,22.22,22.25,0.037,1.45023972114714E-06,1.31E-06,1.1062344399
lm0029,INFg,22.27,22.25,0.037,,,
lm0052,INFg,27.85,28.31,0.651,3.70923909792006E-08,1.0262946E-06,0.0361420502
lm0052,INFg,28.77,28.31,0.651,,,
lm0075,INFg,27.84,27.84,0.004,4.93203115528452E-08,9.39E-07,0.0525412941
lm0075,INFg,27.84,27.84,0.004,,,
lm0064,INFg,29.14,29.64,0.705,1.66819533470707E-08,6.35E-07,0.0262659486
lm0064,INFg,30.13,29.64,0.705,,,
lm0082,INFg,25.23,25.36,0.182,2.21351947117871E-07,1.49E-06,0.1485964204
lm0082,INFg,25.49,25.36,0.182,,,
lm0068,INFg,22.72,22.53,0.259,1.21824898811135E-06,2.2504935E-06,0.541325264
lm0068,INFg,22.35,22.53,0.259,,,
lm0093,INFg,23.55,23.63,0.124,6.27099087813207E-07,1.35E-06,0.4645165697
lm0093,INFg,23.72,23.63,0.124,,,
lm0079,INFg,26.07,26.16,0.139,1.35879201938858E-07,1.36E-06,0.1002652691
lm0079,INFg,26.26,26.16,0.139,,,
lm0055,INFg,24.97,25.24,0.392,2.36892861298777E-07,1.4226183E-06,0.1665189189
lm0055,INFg,25.52,25.24,0.392,,,
lm0059,INFg,27.35,27.71,0.512,5.33291116851121E-08,1.56E-06,0.0342576204
lm0059,INFg,28.07,27.71,0.512,,,
lm0042,INFg,26.3,26.21,0.125,1.31865108126583E-07,1.04E-06,0.1266080628
lm0042,INFg,26.13,26.21,0.125,,,
lm0065,INFg,26.01,26.05,0.054,1.45801980758695E-07,1.03E-06,0.1411848411
lm0065,INFg,26.09,26.05,0.054,,,
lm0080,INFg,32.24,32.28,0.065,3.36587885972447E-09,1.4403699E-06,0.0023368156
lm0080,INFg,32.33,32.28,0.065,,,
lm0028,INFg,27.27,27.21,0.087,7.23662166376909E-08,1.14E-06,0.0634354949
lm0028,INFg,27.15,27.21,0.087,,,
lm0033,INFg,27.72,28.26,0.768,3.82113969441379E-08,4.6E-07,0.0830963083
lm0033,INFg,28.81,28.26,0.768,,,
lm0045,INFg,29.96,30.29,0.471,1.12093218528096E-08,9.5E-07,0.0118044275
lm0045,INFg,30.63,30.29,0.471,,,
lm0023,INFg,32.05,33.64,2.247,1.48673301235753E-09,5.68E-07,0.0026195786
lm0023,INFg,32.22,33.64,2.247,,,
lm0089,INFg,33.5,33.43,0.101,1.6878993045357E-09,5.73E-07,0.0029448025
lm0089,INFg,33.35,33.43,0.101,,,
lm0035,INFg,29.67,29.7,0.044,1.6E-08,7.29E-07,0.0219822143
lm0035,INFg,29.73,29.7,0.044,,,
lm0030,INFg,29.72,29.67,0.059,1.62945096929762E-08,1.14E-06,0.0142538626
lm0030,INFg,29.63,29.67,0.059,,,
lm0056,INFg,30.98,31.13,0.204,6.77050031011239E-09,8.29E-07,0.0081667623
lm0056,INFg,31.27,31.13,0.204,,,
lm0091,INFg,27.92,27.95,0.05,4.60795092378021E-08,6.25E-07,0.073759401
lm0091,INFg,27.99,27.95,0.05,,,
lm0073,INFg,28.81,28.81,0.009,2.75278973123541E-08,6.51E-07,0.0422945527
lm0073,INFg,28.8,28.81,0.009,,,
lm0066,INFg,32.34,32.67,0.474,2.65745436737795E-09,1.39E-06,0.00191212
lm0066,INFg,33.01,32.67,0.474,,,
lm0032,INFg,27.02,26.87,0.213,8.8782546937152E-08,6.3E-07,0.1409502657
lm0032,INFg,26.72,26.87,0.213,,,
lm0031,INFg,30.97,31.05,0.118,7.09661474477328E-09,8.69E-07,0.0081622573
lm0031,INFg,31.13,31.05,0.118,,,
lm0025,INFg,29.23,30.51,1.816,9.83414071251301E-09,1.55E-06,0.0063374909
lm0025,INFg,31.79,30.51,1.816,,,
lm0049,INFg,30.25,30.06,0.269,1.29234271872152E-08,9.49E-07,0.0136115328
lm0049,INFg,29.87,30.06,0.269,,,
lm0048,INFg,29.49,29.67,0.258,1.63177593210093E-08,9.92E-07,0.0164546064
lm0048,INFg,29.85,29.67,0.258,,,
lm0078,INFg,31.7,31.65,0.068,4.92227116101397E-09,1.04E-06,0.0047289484
lm0078,INFg,31.61,31.65,0.068,,,
lm0072,INFg,30.15,30.4,0.353,1.05373793887034E-08,1.42E-06,0.0073993748
lm0072,INFg,30.64,30.4,0.353,,,
lm0071,INFg,30.78,30.89,0.146,7.83072680930448E-09,1.14E-06,0.0068653953
lm0071,INFg,30.99,30.89,0.146,,,
lm0027,INFg,28.9,28.82,0.119,2.73187261739371E-08,1.65E-06,0.0165837307
lm0027,INFg,28.73,28.82,0.119,,,
